artist,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Dance/Electronic,Folk/Acoustic,R&B,World/Traditional,blues,classical,country,easy listening,hip hop,jazz,latin,metal,pop,rock
The Game,206400,True,2005,77,0.802,0.785,9,-4.781,1,0.207,0.14,0.0,0.123,0.435,99.998,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Gorillaz,222640,False,2005,82,0.818,0.705,6,-6.679,1,0.177,0.00836,0.00233,0.613,0.772,138.559,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Black Eyed Peas,239773,False,2005,62,0.69,0.928,5,-2.76,0,0.061,0.00937,0.0,0.547,0.604,130.889,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Akon,235800,True,2004,21,0.629,0.532,5,-7.88,0,0.0352,0.331,0.0,0.238,0.619,90.098,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bodyrockers,200053,False,2005,54,0.642,0.851,6,-3.638,1,0.0431,0.0248,0.0146,0.084,0.777,127.988,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Sugababes,218093,False,2005,64,0.962,0.66,8,-5.096,1,0.061,0.0485,0.0,0.076,0.814,126.016,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Jeezy,280013,True,2005,55,0.684,0.493,10,-7.728,1,0.0459,0.000839,0.0,0.157,0.08,84.03,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eminem,250760,True,2004,77,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Shakira,212893,False,2005,72,0.74,0.783,0,-5.367,1,0.0427,0.0297,0.000308,0.123,0.812,100.011,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Gorillaz,244999,False,2005,73,0.76,0.891,11,-5.852,0,0.0372,0.0229,0.0869,0.298,0.966,120.264,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Snoop Dogg,236813,True,2004,54,0.94,0.713,7,-5.308,1,0.127,0.0319,0.00076,0.325,0.666,112.955,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Robbie Williams,276603,False,2005,58,0.666,0.922,2,-4.458,0,0.0429,0.0381,0.000191,0.0633,0.828,118.014,0,0,0,0,0,0,0,0,0,0,0,0,1,1
David Banner,230133,True,2005,52,0.837,0.658,1,-8.013,0,0.126,0.000213,0.122,0.243,0.586,95.027,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Trillville,283454,True,2004,50,0.9,0.515,1,-6.626,1,0.372,0.00341,0.0,0.111,0.659,84.995,0,0,0,0,0,0,0,0,1,0,0,0,1,0
D4L,224253,True,2005,63,0.891,0.439,7,-7.994,0,0.428,0.0351,0.0,0.0932,0.622,77.499,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Missy Elliott,226863,True,2005,67,0.904,0.813,4,-7.105,0,0.121,0.0311,0.00697,0.0471,0.81,125.461,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Rob Thomas,226640,False,2005,56,0.551,0.896,9,-3.152,0,0.109,0.033,0.0,0.0899,0.858,171.79,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Brian McFadden,229826,False,2004,42,0.561,0.452,9,-7.324,0,0.0336,0.409,0.0,0.106,0.316,77.984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bobby V.,258666,False,2005,65,0.568,0.732,11,-4.896,0,0.103,0.179,4.92e-06,0.401,0.626,186.048,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Backstreet Boys,239586,False,2005,63,0.437,0.589,4,-4.834,1,0.0331,0.231,0.0,0.0768,0.165,133.631,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pretty Ricky,237733,True,2005,63,0.7,0.538,1,-5.952,1,0.045,0.000204,0.0,0.105,0.189,136.518,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Kanye West,233400,True,2005,61,0.672,0.814,7,-3.768,1,0.27,0.258,0.0,0.164,0.379,97.043,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Snoop Dogg,266066,True,2004,39,0.892,0.628,1,-3.832,1,0.216,0.169,0.0,0.102,0.676,92.063,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Fat Joe,211320,False,2005,41,0.905,0.55,1,-7.558,1,0.372,0.0628,0.0,0.0644,0.52,100.813,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Destiny's Child,325573,False,2004,63,0.878,0.417,7,-6.799,1,0.361,0.0444,0.0,0.0833,0.904,77.49,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ciara,202213,False,2005,52,0.939,0.498,5,-10.94,0,0.161,0.0444,0.00128,0.0475,0.801,113.053,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Amerie,238746,False,2008,52,0.636,0.946,10,-4.683,0,0.332,0.115,3.75e-05,0.0416,0.891,125.085,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Ludacris,270746,True,2004,59,0.555,0.639,1,-5.16,1,0.263,0.0594,0.0,0.118,0.184,171.609,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Franz Ferdinand,215000,False,2005,61,0.412,0.944,0,-2.896,1,0.0448,0.0724,0.000493,0.801,0.79,123.091,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Natalie Imbruglia,222653,False,2005,52,0.489,0.798,1,-4.49,1,0.0316,0.00115,2.81e-06,0.149,0.309,94.163,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Gwen Stefani,199853,True,2004,69,0.926,0.916,10,-2.221,0,0.0929,0.35,6.17e-06,0.0234,0.904,110.007,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Pretty Ricky,240040,True,2005,59,0.838,0.594,4,-5.695,0,0.113,0.176,0.0,0.0867,0.507,90.038,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Thirty Seconds To Mars,231533,False,2005,74,0.179,0.912,4,-3.881,0,0.0791,0.0014,0.000294,0.582,0.289,182.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Alicia Keys,256000,False,2003,50,0.727,0.736,10,-6.203,1,0.0615,0.0743,0.00311,0.0348,0.687,85.098,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2Pac,238053,True,2004,68,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0788,0.663,80.569,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Craig David,243986,False,2005,56,0.636,0.558,7,-7.076,1,0.0245,0.462,0.0,0.062,0.572,100.113,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Katie Melua,197160,False,2005,60,0.534,0.247,0,-15.636,1,0.0322,0.516,0.00859,0.122,0.344,82.168,0,0,0,0,0,0,0,1,0,1,0,0,1,0
Lil Jon & The East Side Boyz,260600,True,2004,66,0.675,0.501,10,-6.183,1,0.22,0.0541,0.0,0.429,0.532,139.861,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Mariah Carey,233866,False,2005,0,0.7,0.529,10,-6.816,0,0.0395,0.0422,0.0,0.101,0.386,143.555,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ying Yang Twins,179160,True,2005,57,0.933,0.513,7,-13.203,1,0.347,0.00112,0.00248,0.107,0.595,102.017,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Will Smith,197666,False,2020,34,0.873,0.9,5,-4.325,0,0.18,0.0107,0.000502,0.556,0.478,102.516,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Bow Wow,205840,False,2005,66,0.714,0.6,6,-8.365,1,0.0876,0.0465,0.0,0.0646,0.504,82.017,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Kaiser Chiefs,217706,False,2005,58,0.49,0.956,1,-4.556,0,0.0407,0.00466,6.15e-06,0.242,0.577,160.028,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Kelly Clarkson,198973,False,2004,59,0.548,0.889,9,-4.682,1,0.0382,0.00165,0.00109,0.197,0.425,90.048,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Black Eyed Peas,219000,False,2005,61,0.662,0.785,9,-5.299,1,0.186,0.16,0.0,0.0784,0.604,89.885,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Westlife,241066,False,2005,1,0.129,0.358,10,-6.596,1,0.0314,0.631,0.0,0.0886,0.172,75.048,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ray J,337640,False,2005,62,0.525,0.652,5,-7.042,0,0.28,0.278,0.0,0.339,0.602,127.673,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Papa Roach,208199,False,2004,60,0.455,0.929,11,-3.295,1,0.0494,0.0875,0.0,0.226,0.484,89.782,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Arctic Monkeys,173680,False,2006,71,0.535,0.948,6,-4.19,0,0.0356,0.00225,0.0,0.376,0.778,103.183,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Shayne Ward,219600,False,2006,1,0.286,0.508,2,-5.966,1,0.0336,0.372,0.0,0.27,0.14,68.637,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Bow Wow,248493,False,2005,62,0.815,0.662,6,-8.244,1,0.199,0.0915,0.000409,0.0898,0.611,151.518,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Kaiser Chiefs,233186,False,2005,63,0.395,0.979,8,-3.241,1,0.0766,0.0243,0.0,0.12,0.41,158.842,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Usher,224640,False,2004,61,0.817,0.806,6,-4.606,1,0.0623,0.027,9e-06,0.119,0.805,110.086,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Kelly Clarkson,219493,False,2004,71,0.587,0.583,5,-5.284,0,0.0313,0.248,0.0,0.124,0.15,139.92,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3 Doors Down,243053,False,2012,52,0.478,0.863,1,-4.914,0,0.0387,0.0181,0.0,0.111,0.491,92.004,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Nickelback,258920,False,2005,67,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,0,0,0,0,0,0,0,0,0,0,0,1,0,1
T-Pain,231040,False,2005,0,0.722,0.329,0,-11.617,0,0.108,0.088,0.0,0.081,0.166,99.991,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Destiny's Child,245400,False,2004,58,0.605,0.584,11,-7.043,0,0.197,0.286,0.0,0.235,0.464,125.802,0,0,1,0,0,0,0,0,0,0,0,0,1,0
The Pussycat Dolls,207506,False,2005,67,0.548,0.554,9,-6.408,1,0.0587,0.283,0.0,0.0708,0.382,79.918,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ryan Cabrera,204173,False,2004,62,0.598,0.4,6,-10.054,1,0.0241,0.459,0.0,0.151,0.369,96.938,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Stereophonics,297426,False,2005,69,0.506,0.93,4,-3.499,1,0.0675,0.129,0.00682,0.0931,0.305,146.994,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Eminem,296880,True,2004,67,0.52,0.768,8,-3.489,0,0.359,0.0193,0.00034,0.104,0.398,79.178,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Nelly,253933,True,2004,61,0.644,0.517,7,-10.02,1,0.0803,0.0065,1.37e-06,0.158,0.464,169.799,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Coldplay,287906,False,2005,69,0.514,0.898,11,-6.765,0,0.0577,0.00488,0.0345,0.0746,0.353,123.067,0,0,0,0,0,0,0,0,0,0,0,0,1,1
KT Tunstall,201706,False,2005,71,0.587,0.767,0,-5.713,1,0.0449,0.225,0.0,0.112,0.664,100.38,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Destiny's Child,224146,False,2004,55,0.567,0.747,6,-6.019,0,0.105,0.31,0.0,0.04,0.556,89.036,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Kelly Clarkson,188960,False,2004,71,0.662,0.739,9,-5.354,0,0.0322,0.00206,0.0603,0.113,0.382,130.999,0,0,1,0,0,0,0,0,0,0,0,0,1,0
U2,305080,False,2004,56,0.53,0.597,2,-5.652,1,0.0247,0.00275,0.473,0.105,0.346,96.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
The All-American Rejects,193653,False,2005,65,0.469,0.955,10,-4.253,1,0.0432,0.000343,1.35e-06,0.548,0.462,143.853,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Toby Keith,227840,False,2005,67,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.646,119.075,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gwen Stefani,189333,False,2004,59,0.709,0.721,2,-3.52,1,0.0281,0.0322,0.000309,0.355,0.801,112.019,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Foo Fighters,255626,False,2005,76,0.366,0.94,1,-5.119,0,0.0696,0.000769,9.42e-05,0.188,0.369,130.198,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Shakira,218093,False,2005,82,0.778,0.824,10,-5.892,0,0.0707,0.284,0.0,0.405,0.758,100.024,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Sean Paul,218573,False,2005,78,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Justin Timberlake,242733,True,2006,78,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Beyoncé,227853,False,2007,70,0.447,0.694,7,-4.637,0,0.382,0.0293,5.46e-06,0.167,0.509,175.868,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Amy Winehouse,214946,False,2006,71,0.407,0.558,0,-13.609,1,0.0552,0.0541,1.51e-06,0.34,0.777,71.815,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rihanna,238920,False,2006,73,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Gnarls Barkley,177466,False,2006,74,0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Busta Rhymes,214960,True,2006,61,0.658,0.551,1,-6.62,1,0.37,0.0043,0.000108,0.197,0.442,138.335,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nelly Furtado,258893,False,2006,79,0.796,0.777,6,-4.81,1,0.0397,0.0261,0.000358,0.121,0.787,132.722,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Bob Sinclar,245466,False,2006,69,0.893,0.823,5,-3.708,0,0.122,0.0714,0.0,0.0509,0.902,128.009,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Diddy,276786,True,2006,55,0.819,0.485,6,-6.45,0,0.0756,0.0176,0.0,0.658,0.386,96.998,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Madonna,281880,False,2005,61,0.589,0.877,0,-6.229,0,0.046,0.00121,0.013,0.169,0.443,132.971,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Chamillionaire,303053,True,2005,71,0.787,0.799,8,-4.68,0,0.0993,0.189,0.0,0.3,0.835,143.052,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Black Eyed Peas,213066,False,2005,75,0.648,0.931,1,-3.15,0,0.181,0.00937,0.0,0.752,0.744,153.649,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nelly Furtado,242293,False,2006,82,0.808,0.97,10,-6.098,0,0.0506,0.0569,6.13e-05,0.154,0.868,114.328,0,0,0,0,0,0,0,0,1,0,1,0,1,0
Fedde Le Grand,150533,False,2015,39,0.814,0.923,7,-4.525,1,0.229,0.0154,0.154,0.0862,0.518,127.919,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Sean Paul,243880,False,2006,58,0.711,0.761,8,-3.04,1,0.225,0.067,0.0,0.041,0.718,95.824,0,0,0,0,0,0,0,0,1,0,0,0,1,0
The Pussycat Dolls,225560,False,2005,68,0.565,0.817,2,-4.338,1,0.27,0.152,0.0,0.247,0.477,210.851,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Ciara,261880,False,2006,59,0.964,0.595,1,-6.887,0,0.109,0.0248,5.14e-06,0.0405,0.629,128.593,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Eminem,274440,True,2005,74,0.963,0.643,1,-5.785,0,0.117,0.0507,4.94e-05,0.157,0.534,107.005,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cherish,226293,False,2006,65,0.826,0.67,2,-5.559,1,0.169,0.00798,0.0,0.495,0.794,74.007,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Muse,212439,False,2006,75,0.668,0.921,7,-3.727,1,0.0439,0.0492,0.00517,0.0877,0.782,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Chris Brown,186826,False,2005,63,0.678,0.572,11,-7.033,0,0.0466,0.00374,6.59e-05,0.118,0.444,87.165,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Infernal,209666,False,2004,57,0.741,0.869,9,-6.534,0,0.0816,0.096,0.0,0.0396,0.839,126.069,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Cassie,192213,False,2006,73,0.803,0.454,8,-4.802,0,0.0294,0.352,0.0,0.0655,0.739,99.99,0,0,1,0,0,0,0,0,0,0,0,0,1,0
E-40,202720,True,2006,63,0.858,0.484,6,-7.448,0,0.277,0.0241,1.8e-06,0.123,0.329,99.992,0,0,0,0,0,0,0,0,1,0,0,0,1,0
The Pussycat Dolls,229360,False,2005,57,0.938,0.735,7,-6.382,1,0.0434,0.00952,0.0,0.0998,0.55,103.7,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Lil Jon,274386,False,2006,67,0.835,0.757,8,-5.029,0,0.23,0.00647,0.0,0.29,0.626,82.038,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Armand Van Helden,190000,False,2006,40,0.678,0.768,7,-8.502,1,0.137,0.0195,0.00866,0.0322,0.758,127.51,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Notorious B.I.G.,286186,True,2005,68,0.833,0.628,2,-7.041,1,0.141,0.0949,1.6e-06,0.282,0.645,106.328,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Yung Joc,241840,True,2006,66,0.888,0.577,1,-7.702,0,0.0612,0.0986,0.0,0.131,0.609,84.003,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Shayne Ward,223066,False,2006,1,0.5,0.498,4,-6.087,1,0.026,0.527,0.0,0.123,0.182,79.798,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Justin Timberlake,276160,False,2006,72,0.771,0.68,11,-5.881,0,0.224,0.277,1.18e-05,0.682,0.808,119.952,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Nickelback,219320,False,2005,65,0.441,0.815,3,-4.088,1,0.0276,0.000731,0.0,0.414,0.522,164.007,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Nelly,271160,False,2005,60,0.867,0.504,4,-7.737,0,0.241,0.0358,0.0,0.307,0.84,82.996,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Take That,202066,False,2006,64,0.309,0.783,10,-4.154,1,0.0405,0.142,1.11e-06,0.118,0.372,175.788,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Fergie,241306,True,2006,57,0.769,0.609,1,-5.894,1,0.357,0.216,0.0,0.166,0.633,90.951,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Cascada,199120,False,2011,0,0.64,0.977,8,-5.369,1,0.0555,0.00461,1.68e-05,0.371,0.493,142.019,1,0,0,0,0,0,0,0,1,0,0,0,1,0
D4L,224253,True,2005,63,0.891,0.439,7,-7.994,0,0.428,0.0351,0.0,0.0932,0.622,77.499,0,0,0,0,0,0,0,0,1,0,0,0,1,0
LL Cool J,233973,False,2006,42,0.825,0.876,10,-6.556,0,0.211,0.00928,1.2e-05,0.205,0.48,120.066,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Beyoncé,240280,False,2007,57,0.644,0.746,7,-4.941,1,0.341,0.0071,1.22e-05,0.0743,0.355,105.253,0,0,1,0,0,0,0,0,0,0,0,0,1,0
P!nk,197173,True,2006,0,0.683,0.886,4,-5.045,0,0.071,0.000738,0.00188,0.0524,0.566,100.04,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Eminem,281320,True,2005,68,0.618,0.746,10,-5.476,0,0.352,0.0553,0.0,0.273,0.75,75.272,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Kelis,273973,False,2006,50,0.906,0.633,4,-5.316,1,0.19,0.000182,8.34e-06,0.058,0.779,84.021,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Bob Sinclar,207613,False,2005,49,0.715,0.812,1,-5.758,1,0.062,0.175,0.000134,0.044,0.554,128.04,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Meck,189800,False,2005,46,0.679,0.922,2,-4.67,0,0.0294,0.000241,0.69,0.0697,0.806,129.016,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mary J. Blige,246333,True,2005,69,0.726,0.7,2,-5.881,0,0.0998,0.0717,0.0,0.262,0.673,146.559,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Girls Aloud,201590,False,2012,49,0.681,0.908,11,-3.918,0,0.0473,0.0232,0.0,0.355,0.879,131.925,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Rihanna,226973,False,2006,70,0.588,0.391,0,-8.607,0,0.0334,0.839,0.0,0.227,0.349,144.069,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Kanye West,236600,True,2005,73,0.552,0.846,9,-4.912,1,0.342,0.0114,0.0,0.309,0.554,98.56,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dem Franchize Boyz,229813,True,2006,60,0.886,0.62,5,-5.854,1,0.307,0.082,0.0,0.1,0.6,76.035,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Evanescence,214706,False,2006,65,0.45,0.883,7,-4.094,1,0.0524,0.00193,0.0,0.293,0.328,93.41,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chingy,234133,True,2006,62,0.786,0.511,7,-6.66,1,0.286,0.0825,0.0,0.12,0.587,80.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Nickelback,238173,False,2005,70,0.518,0.797,6,-5.153,1,0.0309,0.000681,0.0,0.107,0.293,132.918,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Fall Out Boy,180266,False,2005,74,0.622,0.961,11,-3.198,0,0.154,0.00523,0.0,0.0854,0.449,114.452,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leona Lewis,257293,False,2007,57,0.261,0.562,8,-3.667,1,0.0301,0.423,7.54e-06,0.131,0.167,70.543,0,0,1,0,0,0,0,0,0,0,0,0,1,0
T.I.,274333,True,2006,64,0.551,0.81,11,-4.365,1,0.0344,0.0155,0.0,0.169,0.332,73.464,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Ludacris,230613,True,2006,62,0.551,0.598,1,-6.79,1,0.27,0.15,0.0,0.299,0.612,78.756,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Nick Lachey,244613,False,2006,37,0.42,0.742,7,-5.665,1,0.0375,0.142,0.0,0.145,0.294,149.965,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jibbs,207586,True,2006,56,0.792,0.589,4,-6.869,0,0.262,0.0259,0.000128,0.114,0.778,157.147,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Arctic Monkeys,202133,True,2006,72,0.348,0.875,11,-4.758,0,0.199,0.0341,0.0,0.117,0.407,169.152,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Rascal Flatts,276773,False,2006,0,0.561,0.936,5,-5.409,1,0.0613,0.00185,0.0,0.102,0.594,103.055,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Beyoncé,211186,False,2006,45,0.7,0.887,7,-3.887,1,0.218,0.0805,0.0,0.376,0.883,166.104,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Keyshia Cole,255333,False,2005,72,0.688,0.519,5,-4.285,1,0.0283,0.064,0.0,0.1,0.318,116.714,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Lily Allen,196893,True,2006,68,0.632,0.639,5,-5.938,1,0.0259,0.00143,0.0,0.221,0.733,95.506,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Ne-Yo,220853,False,2006,67,0.693,0.516,8,-6.446,1,0.0413,0.297,0.000127,0.0604,0.494,94.02,0,0,1,0,0,0,0,0,0,0,0,0,1,0
JoJo,223680,False,2006,48,0.535,0.823,6,-5.338,0,0.0431,0.0113,3.88e-06,0.146,0.685,83.001,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Mary J. Blige,260466,False,2005,64,0.344,0.874,0,-3.161,1,0.0777,0.0841,0.0,0.129,0.269,185.888,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Bubba Sparxxx,252653,True,2005,62,0.64,0.62,1,-5.931,1,0.416,0.016,0.0,0.0831,0.609,129.37,0,0,0,0,0,0,1,0,1,0,0,0,1,0
Amy Winehouse,256946,False,2006,63,0.705,0.806,9,-3.607,1,0.0309,0.0132,0.00428,0.0701,0.734,103.383,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rascal Flatts,214106,False,2006,69,0.537,0.674,5,-5.134,0,0.0277,0.0088,0.0,0.265,0.33,136.002,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Red Hot Chili Peppers,282160,False,2006,76,0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59e-06,0.346,0.73,96.184,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Scissor Sisters,288360,False,2006,63,0.707,0.923,7,-3.409,1,0.0276,0.0195,0.0,0.342,0.845,108.023,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Ne-Yo,207186,False,2006,75,0.452,0.574,6,-8.336,1,0.31,0.246,0.0,0.189,0.58,92.791,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Hinder,261053,False,2019,35,0.474,0.744,2,-5.386,1,0.0341,0.0208,1.22e-06,0.209,0.238,129.005,0,0,0,0,0,0,0,0,0,0,0,1,1,1
The Raconteurs,215266,False,2006,56,0.525,0.578,9,-4.563,1,0.12,0.0132,0.00916,0.108,0.537,123.696,0,0,0,0,0,0,0,0,0,0,0,0,0,1
The Fratellis,215306,False,2006,68,0.511,0.815,7,-3.14,1,0.144,0.0491,0.0,0.0826,0.586,154.514,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Fort Minor,231866,True,2005,42,0.684,0.819,1,-3.309,0,0.238,0.262,0.00197,0.113,0.25,179.999,0,0,0,0,0,0,0,0,1,0,0,0,1,1
The Pussycat Dolls,207506,False,2005,67,0.548,0.554,9,-6.408,1,0.0587,0.283,0.0,0.0708,0.382,79.918,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Panic! At The Disco,185586,False,2005,70,0.566,0.815,9,-4.481,0,0.14,0.0737,0.0,0.12,0.672,169.961,0,0,0,0,0,0,0,0,0,0,0,0,0,1
James Blunt,258653,False,2005,67,0.432,0.261,4,-12.591,1,0.0512,0.953,0.00342,0.0903,0.273,89.567,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Christina Aguilera,228906,False,2006,63,0.862,0.742,7,-4.722,1,0.222,0.00376,0.00855,0.103,0.511,127.91,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Westlife,219106,False,2006,0,0.272,0.203,9,-9.706,1,0.0294,0.784,0.0,0.0805,0.172,109.581,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Keane,186173,False,2006,59,0.489,0.955,11,-2.771,0,0.0363,3.82e-05,0.000178,0.334,0.816,129.352,0,0,0,0,0,0,0,0,0,0,0,0,1,0
