artist,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Dance/Electronic,Folk/Acoustic,R&B,World/Traditional,blues,classical,country,easy listening,hip hop,jazz,latin,metal,pop,rock
Red Hot Chili Peppers,216933,False,2002,73,0.451,0.97,0,-4.938,1,0.107,0.0264,0.00355,0.102,0.198,122.444,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Elvis Presley,211506,False,2002,60,0.597,0.97,4,-5.972,0,0.0502,0.000385,0.205,0.133,0.717,114.999,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Atomic Kitten,206093,False,2002,65,0.783,0.649,7,-4.127,1,0.0322,0.0209,0.00482,0.067,0.665,103.997,0,0,0,0,0,0,0,0,0,0,0,0,1,0
*NSYNC,253600,False,2001,50,0.745,0.807,0,-5.191,0,0.0884,0.0887,1.49e-05,0.0283,0.858,93.967,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Robbie Williams,170493,False,2001,64,0.654,0.515,0,-12.185,1,0.0261,0.429,5.62e-06,0.174,0.677,106.191,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Alanis Morissette,269400,False,2002,57,0.513,0.82,7,-5.428,1,0.0299,0.00192,2.83e-06,0.504,0.52,99.952,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Usher,269400,True,2001,59,0.793,0.568,1,-4.958,1,0.0459,0.0478,3.57e-05,0.0304,0.806,100.005,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Creed,242000,False,2015,47,0.38,0.725,2,-6.094,1,0.0365,0.00571,0.00015,0.3,0.202,130.581,0,0,0,0,0,0,0,0,0,0,0,1,1,1
The Goo Goo Dolls,238173,False,2002,56,0.338,0.685,1,-5.178,1,0.0322,0.00052,0.000512,0.109,0.221,102.192,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Puddle Of Mudd,216760,True,2001,70,0.58,0.748,4,-5.433,1,0.0323,0.00935,0.0,0.753,0.584,109.781,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Ludacris,296586,True,2001,60,0.921,0.668,7,-8.73,1,0.235,0.0949,0.0,0.592,0.892,131.059,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Blazin' Squad,188693,False,2012,40,0.661,0.746,4,-5.153,1,0.042,0.109,0.0,0.325,0.502,144.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Default,268693,False,2001,40,0.443,0.769,2,-5.529,1,0.0312,0.00138,0.0,0.0677,0.17,147.973,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Michelle Branch,217680,False,2001,60,0.499,0.72,8,-9.101,1,0.0286,0.00466,0.00303,0.122,0.652,96.103,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Daniel Bedingfield,257026,False,2002,58,0.688,0.538,10,-7.608,1,0.0292,0.504,0.0,0.111,0.27,119.998,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Enrique Iglesias,208626,False,2001,56,0.776,0.844,11,-5.305,1,0.0297,0.0277,0.000244,0.135,0.868,125.972,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Puddle Of Mudd,303920,False,2001,64,0.432,0.936,3,-4.537,0,0.0562,0.00691,0.0,0.14,0.499,157.469,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Coldplay,226680,False,2002,72,0.424,0.588,9,-5.455,1,0.0278,0.0553,4.95e-06,0.298,0.193,144.636,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Outkast,295346,True,2001,51,0.814,0.852,2,-6.176,1,0.401,0.0958,1.32e-06,0.0288,0.717,184.682,0,0,0,0,0,0,0,0,1,0,0,0,1,0
P!nk,210693,False,2001,60,0.624,0.85,0,-4.754,0,0.0756,0.00234,0.0,0.0621,0.615,98.525,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50 Cent,193466,True,2003,81,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Sean Paul,211666,False,2002,74,0.735,0.824,10,-4.143,0,0.036,0.615,0.0,0.158,0.726,100.202,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Eminem,322226,True,2004,77,0.686,0.735,2,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Beyoncé,236133,False,2003,76,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Counting Crows,225426,False,2003,50,0.669,0.873,8,-4.315,1,0.0494,0.00204,0.0,0.137,0.827,88.029,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Black Eyed Peas,272533,False,2003,68,0.835,0.687,5,-3.18,1,0.184,0.101,0.0,0.132,0.828,94.059,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Jennifer Lopez,187840,False,2002,70,0.845,0.768,6,-5.448,1,0.188,0.00733,5.04e-06,0.0575,0.96,100.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
Black Eyed Peas,296186,False,2003,56,0.81,0.714,2,-3.966,1,0.243,0.0637,0.0,0.237,0.561,112.968,0,0,0,0,0,0,0,0,1,0,0,0,1,0
t.A.T.u.,214440,True,2020,39,0.527,0.834,5,-5.767,0,0.0474,0.0411,0.00599,0.105,0.381,179.92,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Benny Benassi,285570,False,2003,66,0.793,0.698,11,-3.626,1,0.104,0.163,0.145,0.0745,0.339,130.017,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Busta Rhymes,324306,True,2002,68,0.648,0.759,6,-4.315,1,0.306,0.0142,0.0,0.648,0.518,85.996,0,0,0,0,0,0,0,0,1,0,0,0,1,0
Panjabi MC,244666,False,2003,61,0.778,0.879,8,-4.951,0,0.0371,0.399,0.792,0.15,0.942,98.077,0,0,0,1,0,0,0,0,1,0,0,0,0,0
Mis-Teeq,238840,False,2004,59,0.734,0.668,0,-3.935,0,0.0349,0.0526,0.0,0.0925,0.651,99.971,1,0,0,0,0,0,0,0,0,0,0,0,1,0
JAY-Z,205560,True,2002,71,0.759,0.678,9,-5.148,0,0.314,0.23,0.0,0.15,0.327,89.64,0,0,0,0,0,0,0,0,1,0,0,0,0,0
50 Cent,249480,True,2003,76,0.712,0.772,10,-3.024,0,0.346,0.0521,4.35e-06,0.0368,0.848,84.722,0,0,0,0,0,0,0,0,1,0,0,0,1,0
